DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str	
152	422	617	139	603	194	215	68	493	
171	434	569	160	543	196	243	68	548	
213	462	640	169	625	207	303	63	681	
254	491	629	173	623	256	270	91	678	
305	462	686	188	717	218	330	85	859	
289	521	631	191	726	278	339	118	922	
355	584	729	221	801	251	388	122	1041	
448	561	793	273	790	256	372	141	1051	
441	590	818	249	911	343	413	138	1231	
512	609	876	289	924	359	451	132	1312	
575	691	998	309	1039	401	495	169	1317	
516	759	976	327	1099	439	497	150	1409	
556	754	1097	395	1241	467	536	178	1358	
492	816	1293	454	1308	548	548	147	1393	
542	950	1457	475	1443	560	508	196	1348	
457	948	1542	533	1469	536	513	159	1270	
514	1154	1662	538	1755	611	511	143	1333	
427	1225	1979	680	1881	671	489	152	1240	
436	1470	2097	752	2079	771	512	150	1169	
341	1601	2200	759	2186	723	436	148	997	
349	1707	2649	929	2380	867	486	168	984	
225	2001	2787	1005	2637	931	441	126	884	
290	2025	3279	1090	2931	987	486	144	789	
230	2436	3410	1165	3266	1107	446	133	673	
203	2510	3961	1296	3584	1209	536	139	664	
174	2759	4192	1371	3820	1323	481	126	605	
150	3059	4734	1527	4226	1476	536	169	577	
131	3181	5206	1717	4463	1582	507	159	570	
148	3653	5795	1877	4997	1725	563	200	537	
156	3840	6080	2016	5408	1845	616	180	614	
155	4503	7076	2266	6181	2102	637	203	552	
177	4867	7134	2443	6657	2302	745	253	505	
210	5504	8418	2954	7450	2697	826	270	561	
213	5787	9195	3219	8210	3014	903	318	582	
221	6853	10324	3719	9078	3540	1052	393	697	
238	7478	11332	4291	9934	4012	1248	491	751	
281	8771	13044	5313	11741	4887	1442	578	797	
340	9620	14279	6115	12505	5607	1709	654	861	
424	11202	16386	7097	14869	6767	2148	879	1018	
460	13133	18284	8536	16976	8143	2330	1049	1109	
574	15259	21618	10091	19238	9631	2872	1222	1254	
608	17538	23022	11429	21398	10932	3297	1413	1425	
752	19932	26688	13652	24988	13090	3924	1713	1643	
795	22653	28752	15466	27643	14492	4455	1874	1755	
903	25732	33140	17872	31087	16948	4975	2201	1916	
980	27805	35892	19091	33862	18395	5272	2402	2167	
1062	31191	39780	21164	38131	20846	5855	2554	2282	
1105	32410	42237	22479	39400	21025	6045	2713	2373	
1130	36528	46387	24272	43565	23167	6432	2882	2478	
1164	36584	47981	24502	44982	22904	6390	2909	2565	
1099	38690	50451	25579	47587	24120	6449	2873	2748	
1169	38255	49841	24636	47273	22915	6437	2666	2463	
1071	39113	52531	24747	49064	22980	6244	2665	2439	
993	37206	50722	23127	46638	21430	5734	2391	2500	
932	36325	50570	22180	47299	20895	5557	2269	2258	
876	34556	48918	20808	44569	18551	4857	2041	2128	
793	32626	46459	18774	42171	17452	4453	1784	1889	
670	28829	42488	16368	38617	15137	3769	1583	1765	
651	26689	40226	14706	35677	13411	3395	1392	1603	
543	23189	35443	12459	31487	11264	2805	1116	1351	
409	20105	32241	10797	28661	9773	2375	964	1198	
372	16824	28268	8830	24443	8216	1938	773	985	
329	15022	24668	7368	21419	6759	1617	644	884	
224	12285	20563	5913	17829	5334	1331	512	681	
180	10458	17869	5029	15585	4472	1130	427	577	
161	8542	15119	3913	12731	3592	932	328	517	
155	7117	12633	3350	10574	3022	759	297	430	
118	5644	10340	2798	8654	2423	643	236	391	
118	4885	9164	2375	7579	2215	629	213	397	
111	4100	7642	2092	6524	2069	576	224	336	
120	3841	6651	1962	5807	1954	623	233	335	
108	3525	5958	1949	5146	1864	632	261	301	
131	3567	5631	2112	4825	1946	662	263	321	
147	3515	5343	2116	4817	2042	663	275	307	
139	3604	5489	2373	4866	2305	751	316	332	
151	4095	5578	2553	5115	2427	723	314	363	
181	4092	5871	2841	5212	2675	810	375	398	
184	4372	6086	2987	5732	2854	913	377	381	
219	4870	6671	3409	6120	3143	993	396	439	
181	4954	6800	3334	6170	3254	1025	382	467	
