DWTR-TX.str	DWTR-AR.str	DWTR-FL.str	DWTR-IL.str	DWTR-KS.str	DWTR-ME.str	DWTR-OR.str	DWTR-PA.str	
204	339	1381	347	213	628	321	682	
208	323	1499	323	203	683	324	711	
217	365	1566	398	219	770	328	735	
212	298	1521	377	178	701	346	736	
214	323	1459	355	189	717	361	743	
208	331	1407	407	210	690	350	717	
206	319	1294	403	188	634	311	638	
184	251	1164	420	169	609	361	646	
194	278	1100	436	170	590	328	604	
166	236	1005	463	170	476	288	511	
171	253	777	403	159	482	252	554	
167	207	747	409	149	372	243	414	
122	211	626	439	143	385	230	369	
125	197	527	368	149	349	174	360	
138	196	495	380	121	313	200	323	
136	156	416	347	140	258	194	254	
121	170	370	333	130	260	192	273	
131	165	316	337	123	217	181	236	
109	134	290	301	127	225	157	215	
126	170	264	294	144	205	189	219	
147	123	261	301	105	208	176	221	
157	115	239	252	112	221	163	224	
116	171	228	277	133	213	157	238	
138	141	196	225	134	181	184	210	
173	155	238	231	126	187	186	210	
173	153	226	212	148	197	213	246	
211	158	211	228	181	213	234	290	
182	189	230	204	161	230	217	263	
225	211	252	238	206	249	247	375	
216	237	275	216	202	278	279	362	
321	241	293	297	264	339	301	445	
311	299	350	272	283	330	358	413	
382	360	402	277	333	436	397	586	
475	428	482	338	367	431	443	627	
486	443	544	386	438	565	480	639	
515	539	610	456	509	616	482	750	
595	597	697	466	575	676	597	864	
590	643	682	517	599	733	604	811	
740	710	763	486	618	883	683	916	
728	730	897	556	698	887	712	993	
802	817	789	645	695	917	780	1025	
792	844	887	625	741	863	816	1066	
809	839	953	621	736	934	792	1027	
813	828	879	655	712	976	879	974	
827	871	845	602	729	985	865	1000	
819	793	847	654	662	1002	802	1010	
790	839	847	655	686	1004	851	957	
818	783	761	606	677	848	816	887	
821	804	749	730	658	961	903	957	
753	801	756	715	683	865	715	855	
836	737	756	698	651	912	738	870	
753	748	678	648	649	905	768	927	
836	686	744	672	636	871	702	856	
812	724	669	602	657	803	722	854	
815	753	678	678	615	864	673	829	
825	698	706	665	614	757	612	785	
785	647	710	654	607	796	702	845	
787	660	607	717	619	844	691	761	
809	693	634	667	572	773	637	782	
780	567	595	631	533	730	592	730	
655	631	542	668	518	705	586	679	
643	588	507	616	509	674	538	670	
654	550	511	648	480	631	562	637	
546	496	436	615	396	573	527	585	
555	498	386	515	394	565	472	592	
431	433	379	492	371	476	428	491	
447	369	324	496	331	463	399	454	
396	356	310	434	313	420	371	407	
357	328	299	407	229	382	337	376	
287	287	246	376	238	330	296	319	
276	272	259	421	231	321	327	337	
274	236	227	366	219	243	280	240	
247	205	193	295	178	258	270	256	
252	218	204	310	178	211	233	240	
200	185	157	294	176	232	221	187	
194	148	143	255	156	193	198	200	
174	187	135	282	147	198	193	163	
187	140	111	292	158	188	177	169	
176	137	119	288	147	164	165	131	
142	107	124	258	134	171	163	138	
155	107	118	292	112	166	153	129	
131	107	113	275	127	145	163	121	
171	113	96	323	101	137	177	118	
144	76	111	295	124	123	149	99	
151	134	97	302	112	124	153	115	
111	119	92	307	105	130	171	111	
168	87	98	333	127	108	156	114	
156	91	106	330	117	128	159	93	
153	82	90	324	112	118	152	115	
171	77	96	323	123	114	132	105	
190	74	103	333	147	118	139	110	
179	88	76	295	149	135	159	92	
227	70	80	335	182	111	186	107	
