#energy (keV)	DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str
1.83	182	518	1356	135	1027	131	1313	47	4606
1.84	142	501	1388	167	923	156	1187	47	4072
1.85	130	437	1269	176	953	157	1005	51	3463
1.86	116	488	1352	187	928	171	839	44	2987
1.87	79	478	1097	191	827	175	727	44	2423
1.88	77	470	1075	194	872	178	620	47	2079
1.89	59	442	1069	208	780	189	569	32	1711
1.9	61	491	969	209	792	220	502	38	1449
1.91	48	548	893	216	808	226	447	47	1144
1.92	42	590	994	257	784	264	402	46	957
1.93	46	584	982	281	769	235	365	38	805
1.94	38	648	951	329	837	263	364	57	713
1.95	30	632	864	318	838	286	369	38	569
1.96	36	711	915	330	915	289	376	43	528
1.97	31	676	939	333	881	336	344	25	449
1.98	35	727	1014	322	846	350	400	51	426
1.99	30	745	998	312	885	319	457	64	415
2	31	792	1063	327	887	317	433	44	409
2.01	25	708	982	267	984	322	447	37	443
2.02	29	712	1087	298	891	264	439	31	468
2.03	18	643	923	256	868	230	498	44	458
2.04	30	732	1069	218	895	202	464	36	423
2.05	33	688	943	194	857	187	489	46	461
2.06	26	651	965	197	840	180	508	23	425
2.07	22	676	850	157	771	172	464	16	492
2.08	21	628	826	150	773	145	465	16	437
2.09	10	571	862	148	758	127	485	20	436
2.1	23	582	783	126	717	117	498	33	446
2.11	21	551	797	103	659	102	475	18	432
2.12	21	526	702	108	704	107	485	25	493
2.13	18	452	678	83	646	98	443	21	406
2.14	16	510	716	101	604	94	466	12	439
2.15	8	491	741	103	619	96	456	15	420
2.16	20	491	694	101	606	67	471	22	465
2.17	27	473	678	89	552	77	476	25	384
2.18	13	488	609	86	567	102	523	17	429
2.19	17	452	725	90	526	67	484	17	450
2.2	16	495	694	100	515	88	526	23	434
2.21	17	460	698	97	571	74	583	32	404
2.22	20	440	678	91	539	91	600	28	444
2.23	20	454	727	118	483	91	688	35	470
2.24	25	447	755	115	561	95	754	37	479
2.25	17	434	765	115	511	88	802	49	441
2.26	25	482	759	111	591	109	912	60	491
2.27	31	447	757	125	539	89	1044	63	482
2.28	26	508	828	145	558	92	1124	64	482
2.29	31	435	872	136	554	99	1266	65	558
2.3	36	505	945	141	584	92	1327	60	538
2.31	46	467	949	121	636	109	1370	62	562
2.32	20	561	1012	114	560	116	1400	86	622
2.33	29	557	986	101	524	118	1386	48	594
2.34	36	546	1034	115	612	78	1450	70	621
2.35	23	628	1075	117	588	88	1305	76	601
2.36	31	577	1073	110	565	87	1268	60	597
2.37	34	607	980	117	612	76	1184	57	537
2.38	33	589	1063	93	560	105	1158	46	510
2.39	25	569	1002	100	584	101	1021	62	495
2.4	29	620	1089	112	582	76	967	52	503
2.41	26	571	1022	77	586	51	908	48	430
2.42	14	553	974	98	608	76	709	44	457
2.43	26	524	856	76	560	70	720	42	388
2.44	25	516	931	87	629	66	587	47	392
2.45	22	541	808	94	554	54	600	31	322
2.46	18	495	793	98	526	61	551	23	338
2.47	12	480	751	101	487	84	548	30	328
2.48	7	404	745	63	561	87	508	32	280
2.49	16	452	678	67	522	95	500	27	324
