twotheta, intensity, esd
45.245, 236.803422469, 15.1895881382
45.246, 236.337406263, 15.1909908446
45.247, 220.122664442, 14.6411240076
45.248, 252.381478934, 15.6807272756
45.249, 249.255179112, 15.5769810109
45.25, 225.204618544, 14.8161163993
45.251, 209.649658522, 14.2968567368
45.252, 241.682640357, 15.3454623295
45.253, 235.150932562, 15.1460596889
45.254, 215.111293685, 14.4687746343
45.255, 234.052547774, 15.1066925946
45.256, 239.187017432, 15.248626623
45.257, 224.013899421, 14.7697888311
45.258, 233.829895643, 15.0923217307
45.259, 244.431179295, 15.4269340788
45.26, 218.021974818, 14.5986331309
45.261, 220.296759828, 14.6527036972
45.262, 216.915230142, 14.5572076064
45.263, 241.273284977, 15.3194706093
45.264, 222.157274574, 14.7114904183
45.265, 225.127349995, 14.8110329342
45.266, 225.939179364, 14.8323673524
45.267, 241.192145026, 15.3452936669
45.268, 226.932065607, 14.8655391284
45.269, 202.391997686, 14.0661446441
45.27, 224.72124013, 14.8164255484
45.271, 231.613435816, 15.043597161
45.272, 235.537718713, 15.1395895601
45.273, 252.634707442, 15.6964606297
45.274, 211.601901982, 14.3633259565
45.275, 238.137443473, 15.2438186714
45.276, 219.853501816, 14.6556864795
45.277, 248.76231246, 15.5766383593
45.278, 248.216820565, 15.5730526512
45.279, 228.93673844, 14.9328945795
45.28, 246.914221213, 15.5219187318
45.281, 216.351241589, 14.5193582657
45.282, 237.756430712, 15.2194290191
45.283, 216.574160223, 14.5343183624
45.284, 260.009244513, 15.910743794
45.285, 250.722503798, 15.6381608829
45.286, 218.909748531, 14.6253170716
45.287, 223.447394512, 14.7645750541
45.288, 237.682539503, 15.2146990439
45.289, 224.658452813, 14.8122858258
45.29, 230.749496428, 15.0192082666
45.291, 260.722210818, 15.9543723358
45.292, 228.660832801, 14.9467390023
45.293, 226.270098793, 14.8540914223
45.294, 251.305819992, 15.6441314329
45.295, 241.091781846, 15.3389082912
45.296, 228.282275579, 14.9219940736
45.297, 250.333805381, 15.6443888014
45.298, 235.121907269, 15.1441901713
45.299, 221.709170914, 14.7141251999
45.3, 237.771724284, 15.2204080018
45.301, 226.494899787, 14.8688490705
45.302, 214.450100855, 14.4570522651
45.303, 217.944614678, 14.5934531379
45.304, 236.38693199, 15.1941741954
45.305, 234.946015969, 15.1328610215
45.306, 238.893494394, 15.2922155256
45.307, 239.97250591, 15.2987030053
45.308, 206.122855174, 14.1889806756
45.309, 240.112946573, 15.3076563643
45.31, 228.010725411, 14.9361984224
45.311, 226.906162561, 14.8958474891
45.312, 246.297104128, 15.5757634349
45.313, 253.793397415, 15.7079079895
45.314, 246.477832797, 15.4639490537
45.315, 241.032073607, 15.30415507
45.316, 238.014039126, 15.2047881247
45.317, 238.995918356, 15.236443694
45.318, 256.035045497, 15.7862691669
45.319, 248.184973949, 15.5404874122
45.32, 217.296523367, 14.5175378169
45.321, 216.590964814, 14.5028134775
45.322, 222.516993225, 14.703097588
45.323, 249.104419393, 15.5675594162
45.324, 215.890030842, 14.4884063561
45.325, 225.63698751, 14.8125291791
45.326, 209.278647844, 14.2715560206
45.327, 214.313923455, 14.44787193
45.328, 238.901440445, 15.2304205477
45.329, 211.18955072, 14.3353359643
45.33, 224.259323076, 14.7539258112
45.331, 240.138949279, 15.2782865179
45.332, 224.654032825, 14.7798935983
45.333, 232.481023281, 15.0366246084
45.334, 239.665783709, 15.2791488824
45.335, 213.045637274, 14.3951297685
45.336, 242.656695362, 15.3763340824
45.337, 217.788704513, 14.5504203421
45.338, 222.492973971, 14.7337207885
45.339, 254.468570675, 15.719604958
45.34, 209.673839437, 14.2985057311
45.341, 232.595523269, 15.0440303454
45.342, 193.848494728, 13.7405490947
45.343, 224.487173728, 14.8009929733
45.344, 222.835011618, 14.7241110638
45.345, 246.615011487, 15.5031093289
45.346, 198.38811151, 13.8889032876
45.347, 205.442789409, 14.142166653
45.348, 247.282345355, 15.5144239426
45.349, 237.940083532, 15.2311851304
45.35, 223.617231143, 14.7757972288
45.351, 227.76342028, 14.8880783625
45.352, 218.847751447, 14.5886420069
45.353, 257.415220073, 15.8113491206
45.354, 225.894403946, 14.8294279532
45.355, 233.822376775, 15.0918364327
45.356, 229.823047281, 14.9589068015
45.357, 246.193177375, 15.5072741415
45.358, 225.916789437, 14.8308975072
45.359, 232.970302177, 15.0682706455
45.36, 204.303743184, 14.097208123
45.361, 221.086752694, 14.6728173028
45.362, 230.121366681, 14.9783240539
45.363, 256.929639551, 15.8113898725
45.364, 241.92126177, 15.3606134214
45.365, 218.884056453, 14.5910621402
45.366, 241.505923495, 15.3342418218
45.367, 255.440246677, 15.7796295137
45.368, 257.063815447, 15.8196470257
45.369, 230.054732436, 14.9739869107
45.37, 226.906536547, 14.8638668075
45.371, 232.4034759, 15.0631603793
45.372, 229.696311153, 14.9506576988
45.373, 218.476944162, 14.5964014972
45.374, 220.728434991, 14.6490369084
45.375, 235.420072885, 15.1633950035
45.376, 249.095752921, 15.5670178127
45.377, 254.797834296, 15.7700750997
45.378, 250.435510687, 15.6507447842
45.379, 218.296577325, 14.5843512244
45.38, 237.411749592, 15.2286088515
45.381, 199.52993353, 13.9347236945
45.382, 241.376624518, 15.3260320778
45.383, 226.070582656, 14.8409936646
45.384, 230.115812353, 14.9779625293
45.385, 239.823226461, 15.2891861569
45.386, 268.939612681, 16.1866180576
45.387, 213.608608973, 14.4331688045
45.388, 248.177666223, 15.5400298277
45.389, 258.39619268, 15.8716039119
45.39, 231.266825088, 14.9894887038
45.391, 241.940735376, 15.3618498838
45.392, 202.928940691, 14.0695133422
45.393, 207.649557682, 14.226797968
45.394, 229.766014161, 14.9869858844
45.395, 236.986991506, 15.2013630444
45.396, 240.229675937, 15.3150980829
45.397, 239.325899555, 15.2574806221
45.398, 238.109320451, 15.242018441
45.399, 218.803264962, 14.5856764868
45.4, 217.012042564, 14.5637046998
45.401, 240.370417859, 15.3240706478
45.402, 233.032153695, 15.0722711357
45.403, 250.038587733, 15.6259394368
45.404, 236.648024247, 15.1796202291
45.405, 210.617019987, 14.3295338969
45.406, 222.181091897, 14.7130676267
45.407, 240.691253284, 15.3445245154
45.408, 208.79526284, 14.3389987245
45.409, 250.558721069, 15.5976235018
45.41, 226.648529543, 14.846965656
45.411, 230.698968537, 14.9526832547
45.412, 218.32817855, 14.586462496
45.413, 234.503180017, 15.0730928167
45.414, 202.26135772, 14.0232283348
45.415, 239.988603151, 15.2997292349
45.416, 207.054948706, 14.1860592259
45.417, 215.610591365, 14.5023582992
45.418, 219.03420316, 14.568726662
45.419, 252.663378249, 15.6680181996
45.42, 217.363798012, 14.5220324227
45.421, 236.810159825, 15.1588556729
45.422, 241.401180669, 15.3275912526
45.423, 199.542219922, 13.9355817486
45.424, 221.810715765, 14.6885409262
45.425, 238.608905728, 15.2117709039
45.426, 239.566283787, 15.2728055734
45.427, 209.534699304, 14.255897156
45.428, 232.386521328, 15.0305123228
45.429, 238.797473469, 15.2237924556
45.43, 230.348505897, 14.9614382997
45.431, 202.904983681, 14.0678523496
45.432, 224.616782048, 14.7774428854
45.433, 227.790862243, 14.8898721453
45.434, 231.087719877, 14.9778800541
45.435, 214.986974187, 14.46041268
45.436, 221.488313884, 14.6671911317
45.437, 220.871386171, 14.6585241188
45.438, 233.649576175, 15.0806831872
45.439, 203.053172225, 14.0781265898
45.44, 230.82957338, 15.0244203794
45.441, 218.678682054, 14.5773716473
45.442, 212.674150149, 14.4029553911
45.443, 202.066257773, 14.0097016229
45.444, 241.011457598, 15.3028460715
45.445, 239.416868279, 15.263280051
45.446, 235.603311415, 15.1438056432
45.447, 224.176042952, 14.780479354
45.448, 238.889954983, 15.2296883277
45.449, 266.489024959, 16.0975673654
45.45, 235.114767789, 15.1124036664
45.451, 234.510261204, 15.1047940792
45.452, 212.216036016, 14.4050127619
45.453, 243.67254615, 15.4097870856
45.454, 222.327680791, 14.7227748988
45.455, 223.573694689, 14.7407650475
45.456, 227.811600558, 14.8912277346
45.457, 236.000801083, 15.1693549712
45.458, 224.856123116, 14.7931890329
45.459, 232.4153358, 15.0639290751
45.46, 220.867839688, 14.6582887501
45.461, 189.352149568, 13.5937214765
45.462, 223.591030525, 14.7419080419
45.463, 219.897045633, 14.6261173159
45.464, 228.738773686, 14.9199818997
45.465, 228.13964545, 14.9126708534
45.466, 231.638340621, 15.0452147608
45.467, 239.118727574, 15.2753577174
45.468, 245.833834922, 15.484639794
45.469, 253.225129162, 15.7028531788
45.47, 228.819021513, 14.925216238
45.471, 226.156046472, 14.8466041599
45.472, 240.038196222, 15.3028908875
45.473, 268.295748276, 16.1772049798
45.474, 228.74857193, 14.9206210113
45.475, 241.507217185, 15.3343239636
45.476, 255.512187973, 15.7840736333
45.477, 200.395566312, 13.9611622086
45.478, 229.408819846, 14.9636871116
